"filename", "language", "CSS", "PHP", "JavaScript", "XML", "HTML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_turma.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_grade.php", "PHP", 0, 199, 0, 0, 0, 0, 13, 31, 243
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_home.php", "PHP", 0, 83, 0, 0, 0, 0, 1, 9, 93
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_turma.php", "PHP", 0, 108, 0, 0, 0, 0, 9, 18, 135
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_turma_detalhes.php", "PHP", 0, 145, 0, 0, 0, 0, 16, 25, 186
"c:\xampp\htdocs\CLAU\SITE\PAGES\fale.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\login2.php", "PHP", 0, 73, 0, 0, 0, 0, 3, 14, 90
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario.php", "PHP", 0, 366, 0, 0, 0, 0, 29, 77, 472
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario_alt.php", "PHP", 0, 267, 0, 0, 0, 0, 3, 27, 297
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario_cad.php", "PHP", 0, 253, 0, 0, 0, 0, 4, 25, 282
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_home.php", "PHP", 0, 65, 0, 0, 0, 0, 1, 9, 75
"c:\xampp\htdocs\CLAU\SITE\PAGES\notificacoes.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 10, 58
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_aluno.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_calendario.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_chamada.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_grade.php", "PHP", 0, 140, 0, 0, 0, 0, 7, 19, 166
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_home.php", "PHP", 0, 83, 0, 0, 0, 0, 1, 9, 93
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_notas.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_planejamento.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_prova.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_turma.php", "PHP", 0, 107, 0, 0, 0, 0, 3, 17, 127
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_turma_detalhes.php", "PHP", 0, 171, 0, 0, 0, 0, 20, 34, 225
"c:\xampp\htdocs\CLAU\SITE\PAGES\perfil.php", "PHP", 0, 155, 0, 0, 0, 0, 10, 35, 200
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_cad.php", "PHP", 0, 299, 0, 0, 0, 0, 1, 29, 329
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_consulta.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_info.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_relatorio.php", "PHP", 0, 385, 0, 0, 0, 0, 28, 79, 492
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_turma_cad.php", "PHP", 0, 482, 0, 0, 0, 0, 23, 59, 564
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_cad.php", "PHP", 0, 235, 0, 0, 0, 0, 9, 52, 296
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_consulta.php", "PHP", 0, 148, 0, 0, 0, 0, 12, 34, 194
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_detalhes.php", "PHP", 0, 169, 0, 0, 0, 0, 2, 39, 210
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_info.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_fale.php", "PHP", 0, 117, 0, 0, 0, 0, 2, 21, 140
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_home.php", "PHP", 0, 71, 0, 0, 0, 0, 1, 9, 81
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_cad.php", "PHP", 0, 275, 0, 0, 0, 0, 1, 30, 306
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_consulta.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_editar.php", "PHP", 0, 266, 0, 0, 0, 0, 3, 28, 297
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_info.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_relatorio.php", "PHP", 0, 433, 0, 0, 0, 0, 33, 88, 554
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_cad.php", "PHP", 0, 193, 0, 0, 0, 0, 14, 33, 240
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_consulta.php", "PHP", 0, 108, 0, 0, 0, 0, 9, 18, 135
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_detalhes.php", "PHP", 0, 145, 0, 0, 0, 0, 16, 25, 186
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_info.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\teste.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\CLAU\SITE\PHP\alt_func.php", "PHP", 0, 92, 0, 0, 0, 0, 12, 20, 124
"c:\xampp\htdocs\CLAU\SITE\PHP\alt_professor.php", "PHP", 0, 103, 0, 0, 0, 0, 13, 26, 142
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_aluno.php", "PHP", 0, 170, 0, 0, 0, 0, 15, 29, 214
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_aluno_turma.php", "PHP", 0, 40, 0, 0, 0, 0, 4, 6, 50
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_func.php", "PHP", 0, 138, 0, 0, 0, 0, 13, 19, 170
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_professor.php", "PHP", 0, 136, 0, 0, 0, 0, 5, 26, 167
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_turma.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 12, 73
"c:\xampp\htdocs\CLAU\SITE\PHP\data.php", "PHP", 0, 9, 0, 0, 0, 0, 2, 2, 13
"c:\xampp\htdocs\CLAU\SITE\PHP\det_func.php", "PHP", 0, 29, 0, 0, 0, 0, 3, 12, 44
"c:\xampp\htdocs\CLAU\SITE\PHP\det_turma.php", "PHP", 0, 27, 0, 0, 0, 0, 3, 11, 41
"c:\xampp\htdocs\CLAU\SITE\PHP\dropdown.php", "PHP", 0, 23, 0, 0, 0, 0, 3, 2, 28
